index,cpu,gpu,ram_type,ram_size,storage,display_size,display_type,display_fps,name,image,price,disount
0,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6 (OC Ready),DDR4,8,1000,17.3,FHD,60,Alienware m17 Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/m17_r1/global_spi/notebook-alienware-m-17-r1-bestof-500-ng.psd?fmt=jpg,107019,0
1,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6 (OC Ready),DDR4,16,256,17.3,FHD,60,Alienware m17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-PROC-PROC_BRAND-core_i7_2_us_smb.png,122664,0
2,8th Generation Intel Core i7-8750H,NVIDIA GeForce RTX 2070 8GB GDDR6 with Max-Q Design,DDR4,16,1000,17.3,QHD,120,Alienware m17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,174218,0
3,8th Generation Intel Core i7-8750H,NVIDIA GeForce RTX 2070 8GB GDDR6 with Max-Q Design,DDR4,16,512,15.6,FHD,144,Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-8_us_dhs.png,170663,0
4,8th Generation Intel Core i9-8950HK,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,32,1000,17.3,UHD,60,Alienware m17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-1000_us_dhs.png,284083,0
5,8th Generation Intel Core i9-8950HK,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,32,512,17.3,UHD,60,Alienware m17 Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/m17_r1/global_spi/notebook-alienware-m-17-r1-bestof-500-ng.psd?fmt=jpg,262750,0
6,9th Generation Intel Core i9-9980HK,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,16,4000,17.3,FHD,144,New Alienware m17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-PROC-PROC_BRAND-core_i7_2_us_smb.png,302927,0
7,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6 (OC Ready),DDR4,16,512,17.3,FHD,144,New Alienware m17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,150041,0
8,8th Generation Intel Core i9-8950HK,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,32,512,17.3,UHD,60,Alienware m17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-16_us_dhs.png,262750,0
9,8th Generation Intel Core i9-8950HK,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,32,1000,17.3,UHD,60,Alienware m17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-1000_us_dhs.png,284083,0
10,8th Generation Intel Core i7-8750H,NVIDIA GeForce RTX 2070 8GB GDDR6 with Max-Q Design,DDR4,16,512,15.6,FHD,144,Alienware m15 Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/m17_r1/global_spi/notebook-alienware-m-17-r1-bestof-500-ng.psd?fmt=jpg,170663,0
11,9th Generation Intel Core i7-9750H,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,DDR4,16,256,15.6,FHD,144,Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-PROC-PROC_BRAND-core_i7_2_us_smb.png,120886,0
12,8th Generation Intel Core i7-8750H,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,16,512,15.6,FHD,240,Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,195551,0
13,8th Generation Intel Core i9-8950HK,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,32,1000,15.6,OLED,2160,Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-16_us_dhs.png,273772,0
14,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2070 8GB GDDR6 with Max-Q Design,DDR4,16,512,15.6,FHD,240,Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-1000_us_dhs.png,159996,0
15,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6 (OC Ready),DDR4,16,512,15.6,FHD,144,Alienware m15 Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/m15_r1/global_spi/notebook-alienware-m15-r1-relsize-ss-imprl-500-ng.psd?fmt=jpg,137241,0
16,8th Generation Intel Core i7-8750H,NVIDIA GeForce RTX 2070 8GB GDDR6 with Max-Q Design,DDR4,16,512,15.6,FHD,144,Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-PROC-PROC_BRAND-core_i7_2_us_smb.png,156441,0
17,9th Generation Intel Core i7-9700,NVIDIA GeForce RTX 2060 6GB GDDR6 (OC Ready),DDR4,16,1000,17.3,FHD,60,Alienware Area-51m Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,178399,0
18,9th Generation Intel Core i9-9900K,NVIDIA GeForce RTX 2080 8GB GDDR6 (OC Ready),DDR4,64,2000,17.3,FHD,144,Alienware Area-51m Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-16_us_dhs.png,379015,0
19,9th Generation Intel Core i7-9700K,NVIDIA GeForce RTX 2070 8GB GDDR6 (OC Ready),DDR4,16,256,17.3,FHD,144,Alienware Area-51m Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-1000_us_dhs.png,222573,0
20,9th Generation Intel Core i9-9900,NVIDIA GeForce RTX 2080 8GB GDDR6 (OC Ready),DDR4,32,512,17.3,FHD,144,Alienware Area-51m Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/m17_r1/global_spi/notebook-alienware-m-17-r1-bestof-500-ng.psd?fmt=jpg,305772,0
21,9th Generation Intel Core i7-9700K,NVIDIA GeForce RTX 2070 8GB GDDR6 (OC Ready),DDR4,16,512,17.3,FHD,144,Alienware Area-51m Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,233240,0
22,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2070 8GB GDDR6 with Max-Q Design,DDR4,16,512,15.6,FHD,144,New Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-32_us_dhs.png,167818,0
23,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,16,1000,15.6,FHD,240,New Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-1000_us_dhs.png,222573,0
24,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2080 8GB GDDR6 with Max-Q Design,DDR4,16,1000,15.6,FHD,240,New Alienware m15 Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/m17_r1/global_spi/notebook-alienware-m-17-r1-bestof-500-ng.psd?fmt=jpg,222573,0
25,9th Generation Intel Core i5-9300H,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,DDR4,8,256,15.6,FHD,60,New Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,99553,0
26,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6 (OC Ready),DDR4,8,256,15.6,FHD,60,New Alienware m15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-32_us_dhs.png,120886,0
27,9th Generation Intel Core i5-9300H,NVIDIA GeForce GTX 1650 4GB GDDR5,DDR4,8,128,15.6,FHD,144,New Dell G3 15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-1000_us_dhs.png,67482,0
28,9th Generation Intel Core i7-9750H,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,DDR4,8,128,15.6,FHD,1080,Dell G7 15 Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/alienware_m17_r2/global_spi/non-tobii-white/ng/notebook-alienware-m17-r2-non-tobii-bestof-500-ng.psd?fmt=jpg,99482,0
29,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6,DDR4,16,512,17.3,FHD,1080,Dell G7 17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,126503,0
30,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6,DDR4,16,256,15.6,FHD,1080,Dell G7 15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-16_us_dhs.png,126503,0
31,9th Generation Intel Core i7-9750H,NVIDIA GeForce GTX 1660 Ti with Max-Q Design 6GB GDDR6 ,DDR4,16,512,15.6,FHD,144,New Dell G3 15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-2000_us_dhs.png,99482,0
32,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6,DDR4,16,256,15.6,FHD,1080,Dell G7 15 Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/alienware_m17_r2/global_spi/non-tobii-white/ng/notebook-alienware-m17-r2-non-tobii-bestof-500-ng.psd?fmt=jpg,126503,0
33,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6,DDR4,16,512,17.3,FHD,1080,Dell G7 17 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-PROC-PROC_BRAND-core_i7_2_us_smb.png,126503,0
34,9th Generation Intel Core i7-9750H,NVIDIA GeForce GTX 1660 Ti with Max-Q Design 6GB GDDR6 ,DDR4,16,512,15.6,FHD,1080,New Dell G3 15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,99482,0
35,9th Generation Intel Core i7-9750H,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,DDR4,8,256,15.6,FHD,1080,Dell G5 15 SE Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-16_us_dhs.png,83126,0
36,9th Generation Intel Core i5-9300H,NVIDIA GeForce GTX 1650 4GB GDDR5,DDR4,8,128,15.6,FHD,1080,Dell G5 15 SE Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-HDRV-HD_CAPACITY_GB-512_us_dhs.png,72460,0
37,9th Generation Intel Core i7-9750H,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,DDR4,8,256,15.6,FHD,144,Dell G5 15 SE Gaming Laptop,//i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/alienware_notebooks/m17_r1/global_spi/notebook-alienware-m-17-r1-bestof-500-ng.psd?fmt=jpg,100904,0
38,9th Generation Intel Core i7-9750H,NVIDIA GeForce RTX 2060 6GB GDDR6,DDR4,16,512,15.6,FHD,144,Dell G5 15 SE Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/dellmicrocontent/publishingimages/Win10_fragment-(2).png,122237,0
39,9th Generation Intel Core i7-9750H,NVIDIA GeForce GTX 1650 4GB GDDR5,DDR4,8,256,15.6,FHD,1080,Dell G5 15 Gaming Laptop,//i.dell.com/das/dih.ashx/38x55/sites/imagecontent/DellMicroContent/PublishingImages/ICN-MEMRY-MEMRY_SIZE_GB-32_us_dhs.png,81704,0
