index,uid
5,8uitIB
4,8uitIB
4,8uitIB
8,8uitIB
20,8uitIB
9,8uitIB
8,8uitIB
9,8uitIB
9,8uitIB
9,8uitIB
13,8uitIB
36,9uXY83
28,9uXY83
35,9uXY83
31,9uXY83
37,9uXY83
28,9uXY83
34,9uXY83
31,9uXY83
37,9uXY83
34,9uXY83
31,9uXY83
31,9uXY83
39,9uXY83
36,VTrmgQ
25,VTrmgQ
34,VTrmgQ
39,VTrmgQ
35,VTrmgQ
34,68njvT
11,68njvT
39,68njvT
27,68njvT
27,68njvT
34,68njvT
36,68njvT
36,68njvT
27,68njvT
32,68njvT
27,68njvT
28,68njvT
33,nImc1L
12,nImc1L
15,nImc1L
11,nImc1L
30,nImc1L
26,nImc1L
22,bXUSlm
15,bXUSlm
14,bXUSlm
16,bXUSlm
14,bXUSlm
6,vHsgt6
7,vHsgt6
30,vHsgt6
17,vHsgt6
6,vHsgt6
17,vHsgt6
17,vHsgt6
15,vHsgt6
1,vHsgt6
7,vHsgt6
38,vHsgt6
31,vHsgt6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
18,FZLWX6
8,6r9VVW
5,6r9VVW
8,6r9VVW
8,6r9VVW
5,6r9VVW
4,6r9VVW
9,6r9VVW
20,6r9VVW
8,6r9VVW
2,vyK8jS
3,vyK8jS
1,vyK8jS
30,vyK8jS
30,vyK8jS
15,vyK8jS
26,vyK8jS
17,vyK8jS
33,vyK8jS
22,IKmLm3
23,IKmLm3
39,IKmLm3
32,IKmLm3
39,IKmLm3
37,IKmLm3
25,oPYBL9
11,oPYBL9
11,oPYBL9
39,oPYBL9
37,oPYBL9
35,oPYBL9
30,oPYBL9
37,oPYBL9
30,oPYBL9
5,cU7Slh
5,cU7Slh
23,cU7Slh
23,cU7Slh
4,cU7Slh
18,cU7Slh
13,cU7Slh
18,cU7Slh
9,cU7Slh
20,cU7Slh
23,cU7Slh
20,cU7Slh
8,cU7Slh
24,IDrPwF
12,IDrPwF
20,IDrPwF
8,IDrPwF
5,IDrPwF
2,rttKdt
2,rttKdt
27,rttKdt
16,rttKdt
10,rttKdt
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
6,D89NcS
21,yUMe5e
14,yUMe5e
3,yUMe5e
15,yUMe5e
0,yUMe5e
10,yUMe5e
19,yUMe5e
2,yUMe5e
17,yUMe5e
17,yUMe5e
1,yUMe5e
13,LS8CUt
4,LS8CUt
5,LS8CUt
5,LS8CUt
8,LS8CUt
18,LS8CUt
9,LS8CUt
18,LS8CUt
4,LS8CUt
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
6,pmFgpd
0,YCB647
35,YCB647
35,YCB647
28,YCB647
28,YCB647
34,YCB647
28,YCB647
28,YCB647
37,YCB647
39,YCB647
31,YCB647
0,YCB647
14,miuOeU
3,miuOeU
29,miuOeU
21,miuOeU
33,miuOeU
24,miuOeU
11,miuOeU
6,miuOeU
30,miuOeU
14,miuOeU
19,miuOeU
15,miuOeU
23,miuOeU
15,miuOeU
26,TDNjyn
19,TDNjyn
7,TDNjyn
0,TDNjyn
23,TDNjyn
24,TDNjyn
33,TDNjyn
24,TDNjyn
12,8NPXkl
23,8NPXkl
24,8NPXkl
20,8NPXkl
20,8NPXkl
6,8NPXkl
15,QhCgUl
21,QhCgUl
22,QhCgUl
19,QhCgUl
17,QhCgUl
22,QhCgUl
30,aDkp80
32,aDkp80
30,aDkp80
15,aDkp80
26,aDkp80
11,aDkp80
33,aDkp80
26,PEnfCt
29,PEnfCt
2,PEnfCt
29,PEnfCt
10,PEnfCt
15,PEnfCt
33,PEnfCt
32,PEnfCt
17,rcunWW
24,rcunWW
15,rcunWW
14,rcunWW
19,rcunWW
6,rcunWW
7,rcunWW
1,rcunWW
21,rcunWW
29,rcunWW
2,rcunWW
11,rcunWW
16,rcunWW
38,rcunWW
10,AHovu6
7,AHovu6
26,AHovu6
22,AHovu6
11,AHovu6
22,AHovu6
14,PiUCUg
21,PiUCUg
14,PiUCUg
15,PiUCUg
7,PiUCUg
10,PiUCUg
26,PiUCUg
2,PiUCUg
22,PiUCUg
17,PiUCUg
2,PiUCUg
22,PiUCUg
21,PiUCUg
22,PiUCUg
21,CRobBR
18,CRobBR
20,CRobBR
9,CRobBR
18,CRobBR
6,CRobBR
20,CRobBR
5,CRobBR
21,CRobBR
21,CRobBR
8,CRobBR
4,CRobBR
19,NGiUiO
38,NGiUiO
10,NGiUiO
10,NGiUiO
32,NGiUiO
19,NGiUiO
32,NGiUiO
19,NGiUiO
11,NGiUiO
30,NGiUiO
13,orW5ry
13,orW5ry
8,orW5ry
6,orW5ry
5,orW5ry
20,orW5ry
5,orW5ry
4,orW5ry
21,orW5ry
5,orW5ry
20,lQuDrB
20,lQuDrB
5,lQuDrB
18,lQuDrB
20,lQuDrB
13,lQuDrB
4,lQuDrB
21,lQuDrB
20,lQuDrB
4,lQuDrB
20,lQuDrB
26,G8AIL3
14,G8AIL3
15,G8AIL3
10,G8AIL3
2,G8AIL3
10,G8AIL3
14,G8AIL3
3,G8AIL3
16,G8AIL3
15,G8AIL3
25,hIzjcr
29,hIzjcr
39,hIzjcr
35,hIzjcr
30,hIzjcr
11,hIzjcr
32,hIzjcr
30,hIzjcr
39,hIzjcr
31,hIzjcr
11,hIzjcr
34,hIzjcr
0,C91Fbe
14,C91Fbe
19,C91Fbe
3,C91Fbe
22,C91Fbe
2,C91Fbe
15,C91Fbe
15,C91Fbe
15,C91Fbe
2,C91Fbe
26,C91Fbe
15,C91Fbe
15,C91Fbe
21,wwqDHp
9,wwqDHp
5,wwqDHp
18,wwqDHp
8,wwqDHp
18,wwqDHp
21,wwqDHp
13,wwqDHp
8,wwqDHp
7,18b1Ps
33,18b1Ps
17,18b1Ps
14,18b1Ps
29,18b1Ps
1,wvs7kt
10,wvs7kt
7,wvs7kt
21,wvs7kt
22,wvs7kt
14,wvs7kt
22,wvs7kt
14,wvs7kt
22,wvs7kt
10,wvs7kt
14,wvs7kt
3,wvs7kt
4,s6lht1
6,s6lht1
8,s6lht1
4,s6lht1
9,s6lht1
12,149Ivu
3,149Ivu
17,149Ivu
30,149Ivu
11,149Ivu
3,149Ivu
17,149Ivu
14,J5DUT4
3,J5DUT4
22,J5DUT4
16,J5DUT4
7,J5DUT4
21,J5DUT4
5,lWqO8F
8,lWqO8F
21,lWqO8F
9,lWqO8F
4,lWqO8F
21,lWqO8F
20,lWqO8F
20,lWqO8F
5,lWqO8F
9,lWqO8F
4,lWqO8F
5,lWqO8F
27,yMGFc2
30,yMGFc2
11,yMGFc2
25,yMGFc2
33,yMGFc2
11,yMGFc2
31,yMGFc2
3,qyD3nl
10,qyD3nl
16,qyD3nl
17,qyD3nl
3,qyD3nl
22,qyD3nl
5,IXS6V1
18,IXS6V1
12,IXS6V1
9,IXS6V1
8,IXS6V1
13,IXS6V1
20,IXS6V1
18,IXS6V1
20,IXS6V1
15,vjcKg5
17,vjcKg5
22,vjcKg5
21,vjcKg5
2,vjcKg5
15,vjcKg5
22,vjcKg5
19,vjcKg5
10,vjcKg5
6,JD1Wyc
18,JD1Wyc
9,JD1Wyc
20,JD1Wyc
18,JD1Wyc
9,JD1Wyc
13,JD1Wyc
6,JD1Wyc
6,JD1Wyc
13,JD1Wyc
21,JD1Wyc
0,4BYG6Z
21,4BYG6Z
3,4BYG6Z
7,4BYG6Z
22,4BYG6Z
7,4BYG6Z
7,4BYG6Z
10,4BYG6Z
16,4BYG6Z
3,4BYG6Z
26,4BYG6Z
38,4cbCAB
7,4cbCAB
16,4cbCAB
10,4cbCAB
14,4cbCAB
38,4cbCAB
29,4cbCAB
3,4cbCAB
16,4cbCAB
22,4cbCAB
1,Ns0jZr
16,Ns0jZr
38,Ns0jZr
22,Ns0jZr
38,Ns0jZr
38,Ns0jZr
6,bTAlqJ
18,bTAlqJ
20,bTAlqJ
4,bTAlqJ
20,bTAlqJ
4,bTAlqJ
6,bTAlqJ
6,bTAlqJ
5,bTAlqJ
4,bTAlqJ
18,bTAlqJ
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
6,QngI4Y
21,fhzYow
18,fhzYow
20,fhzYow
9,fhzYow
8,fhzYow
5,fhzYow
20,fhzYow
9,fhzYow
20,fhzYow
5,fhzYow
9,fhzYow
21,fhzYow
4,fhzYow
6,fhzYow
29,REDyVr
11,REDyVr
15,REDyVr
1,REDyVr
33,REDyVr
32,REDyVr
27,twrZew
12,twrZew
27,twrZew
2,twrZew
27,twrZew
27,twrZew
12,twrZew
10,twrZew
27,twrZew
36,G2S1Wk
16,G2S1Wk
3,G2S1Wk
25,G2S1Wk
12,G2S1Wk
16,G2S1Wk
13,OmUNMN
8,OmUNMN
8,OmUNMN
9,OmUNMN
4,OmUNMN
20,OmUNMN
5,OmUNMN
13,OmUNMN
9,OmUNMN
20,OmUNMN
22,HBDoLy
16,HBDoLy
7,HBDoLy
22,HBDoLy
22,HBDoLy
22,HBDoLy
7,HBDoLy
2,HBDoLy
26,HBDoLy
17,HBDoLy
28,ntobX9
31,ntobX9
28,ntobX9
28,ntobX9
37,ntobX9
39,ntobX9
34,ntobX9
3,hjoaY0
11,hjoaY0
7,hjoaY0
29,hjoaY0
7,hjoaY0
16,hjoaY0
6,9vxVFh
20,9vxVFh
18,9vxVFh
13,9vxVFh
4,9vxVFh
5,9vxVFh
6,9vxVFh
18,9vxVFh
9,9vxVFh
9,9vxVFh
6,9vxVFh
37,VSxRXU
28,VSxRXU
36,VSxRXU
36,VSxRXU
28,VSxRXU
35,VSxRXU
39,VSxRXU
37,VSxRXU
28,VSxRXU
35,VSxRXU
22,9mWF8G
7,9mWF8G
21,9mWF8G
16,9mWF8G
22,9mWF8G
2,9mWF8G
1,9mWF8G
16,9mWF8G
2,9mWF8G
3,qMDWKQ
21,qMDWKQ
0,qMDWKQ
16,qMDWKQ
10,qMDWKQ
10,qMDWKQ
16,qMDWKQ
21,qMDWKQ
1,qMDWKQ
10,V2VGrb
2,V2VGrb
7,V2VGrb
0,V2VGrb
16,V2VGrb
15,V2VGrb
16,95MfAX
16,95MfAX
27,95MfAX
25,95MfAX
10,95MfAX
27,95MfAX
36,95MfAX
16,95MfAX
3,95MfAX
12,95MfAX
26,3jNxLS
30,3jNxLS
37,3jNxLS
26,3jNxLS
25,3jNxLS
30,3jNxLS
19,3jNxLS
1,3jNxLS
37,l3uhiu
35,l3uhiu
31,l3uhiu
34,l3uhiu
28,l3uhiu
33,QUPosn
1,QUPosn
33,QUPosn
22,QUPosn
38,QUPosn
12,QUPosn
12,QUPosn
11,QUPosn
10,QUPosn
22,QUPosn
15,QUPosn
33,QUPosn
2,QUPosn
14,Fyv3H9
12,Fyv3H9
17,Fyv3H9
26,Fyv3H9
11,Fyv3H9
14,Fyv3H9
11,Fyv3H9
12,Fyv3H9
10,Fyv3H9
10,Fyv3H9
3,WCrYuS
36,WCrYuS
2,WCrYuS
25,WCrYuS
2,WCrYuS
36,WCrYuS
25,WCrYuS
25,WCrYuS
3,gcJPeW
21,gcJPeW
15,gcJPeW
16,gcJPeW
7,gcJPeW
39,Cy7ZwQ
28,Cy7ZwQ
0,Cy7ZwQ
39,Cy7ZwQ
39,Cy7ZwQ
34,Cy7ZwQ
37,Cy7ZwQ
39,Cy7ZwQ
34,Cy7ZwQ
39,Cy7ZwQ
22,nF7fKs
26,nF7fKs
38,nF7fKs
38,nF7fKs
7,nF7fKs
26,nF7fKs
2,nF7fKs
10,nF7fKs
26,nF7fKs
16,nF7fKs
36,mz7wgf
31,mz7wgf
36,mz7wgf
35,mz7wgf
35,mz7wgf
39,mz7wgf
39,mz7wgf
31,mz7wgf
28,mz7wgf
28,mz7wgf
35,mz7wgf
15,9hbUSS
15,9hbUSS
34,9hbUSS
15,9hbUSS
34,9hbUSS
10,9hbUSS
37,qHuncl
37,qHuncl
37,qHuncl
27,qHuncl
33,qHuncl
31,qHuncl
34,qHuncl
38,qHuncl
35,qHuncl
31,qHuncl
34,qHuncl
30,qHuncl
16,A06st6
25,A06st6
10,A06st6
10,A06st6
3,A06st6
12,A06st6
10,A06st6
36,A06st6
36,A06st6
25,A06st6
12,A06st6
38,vCY9zN
33,vCY9zN
15,vCY9zN
11,vCY9zN
15,vCY9zN
2,vCY9zN
33,vCY9zN
12,vCY9zN
26,vCY9zN
12,vCY9zN
22,Ug9ipa
10,Ug9ipa
32,Ug9ipa
16,Ug9ipa
7,Ug9ipa
11,Ug9ipa
15,Ug9ipa
7,Ug9ipa
33,Ug9ipa
26,Ug9ipa
12,Ug9ipa
14,Ug9ipa
22,Ug9ipa
29,NabMEl
16,NabMEl
33,NabMEl
22,NabMEl
30,NabMEl
12,NabMEl
1,NabMEl
22,NabMEl
35,0b8TJf
0,0b8TJf
28,0b8TJf
31,0b8TJf
34,0b8TJf
39,0b8TJf
28,0b8TJf
28,0b8TJf
25,0b8TJf
36,0b8TJf
19,s1hhL8
16,s1hhL8
15,s1hhL8
15,s1hhL8
1,s1hhL8
7,s1hhL8
28,2MJhqb
25,2MJhqb
28,2MJhqb
35,2MJhqb
26,2MJhqb
0,2MJhqb
36,2MJhqb
13,pF0gM0
8,pF0gM0
4,pF0gM0
13,pF0gM0
8,pF0gM0
4,pF0gM0
9,pF0gM0
13,pF0gM0
20,pF0gM0
8,pF0gM0
4,pF0gM0
4,pF0gM0
8,pF0gM0
9,pF0gM0
36,ZoVx4c
26,ZoVx4c
36,ZoVx4c
0,ZoVx4c
25,ZoVx4c
39,ZoVx4c
28,ZoVx4c
36,ZoVx4c
36,ZoVx4c
27,ZoVx4c
28,ZoVx4c
27,ZoVx4c
26,ZoVx4c
39,ZoVx4c
8,hfIOAK
20,hfIOAK
13,hfIOAK
20,hfIOAK
20,hfIOAK
20,hfIOAK
9,Iq1A5h
12,Iq1A5h
13,Iq1A5h
23,Iq1A5h
23,Iq1A5h
5,Iq1A5h
5,Iq1A5h
20,Iq1A5h
5,Iq1A5h
20,Iq1A5h
13,Iq1A5h
12,Iq1A5h
10,eHlSSm
3,eHlSSm
1,eHlSSm
3,eHlSSm
17,eHlSSm
1,eHlSSm
1,eHlSSm
7,eHlSSm
21,eHlSSm
3,eHlSSm
33,abtHNL
16,abtHNL
11,abtHNL
33,abtHNL
22,abtHNL
38,abtHNL
12,abtHNL
16,abtHNL
33,abtHNL
32,abtHNL
10,abtHNL
33,abtHNL
3,abtHNL
20,SYdmTa
4,SYdmTa
9,SYdmTa
8,SYdmTa
9,SYdmTa
5,SYdmTa
5,SYdmTa
4,SYdmTa
4,SYdmTa
13,SYdmTa
8,SYdmTa
4,SYdmTa
15,sI8XRW
15,sI8XRW
19,sI8XRW
14,sI8XRW
1,sI8XRW
15,sI8XRW
3,sI8XRW
26,sI8XRW
11,LyGyLS
34,LyGyLS
35,LyGyLS
29,LyGyLS
11,LyGyLS
31,LyGyLS
19,LyGyLS
15,LyGyLS
29,LyGyLS
30,LyGyLS
18,JQ3IGk
20,JQ3IGk
4,JQ3IGk
6,JQ3IGk
4,JQ3IGk
4,JQ3IGk
20,JQ3IGk
20,3BsBBr
8,3BsBBr
12,3BsBBr
5,3BsBBr
18,3BsBBr
9,3BsBBr
23,3BsBBr
6,3BsBBr
9,3BsBBr
24,3BsBBr
9,3BsBBr
9,FzwpAB
21,FzwpAB
5,FzwpAB
21,FzwpAB
9,FzwpAB
18,FzwpAB
9,FzwpAB
4,FzwpAB
8,FzwpAB
4,FzwpAB
4,FzwpAB
16,5yxP8w
29,5yxP8w
16,5yxP8w
33,5yxP8w
2,5yxP8w
12,5yxP8w
32,5yxP8w
3,5yxP8w
38,5yxP8w
1,ShnXj0
2,ShnXj0
3,ShnXj0
26,ShnXj0
3,ShnXj0
2,ShnXj0
21,ShnXj0
16,ShnXj0
19,ShnXj0
26,ShnXj0
10,ShnXj0
38,1kUWbQ
7,1kUWbQ
17,1kUWbQ
29,1kUWbQ
22,1kUWbQ
22,1kUWbQ
2,1kUWbQ
14,1kUWbQ
12,1kUWbQ
3,1kUWbQ
14,1kUWbQ
26,1kUWbQ
2,1kUWbQ
38,1kUWbQ
